assigner,ef_search,refine_k,ef_construction,hnsw_M,projection_dim,base_add_ms,ann_add_ms,speedup,mismatch_rate,status,error_message
kd,96,128,,,16,1454.6978,1780.5217,0.8170,0.0000,ok,
kd,96,192,,,16,1617.6490,2359.1000,0.6857,0.0000,ok,
kd,128,64,,,16,1446.9321,1831.2341,0.7901,0.0000,ok,
kd,128,96,,,16,1527.4084,1791.8536,0.8524,0.0000,ok,
kd,128,128,,,16,1447.2938,1786.5064,0.8101,0.0000,ok,
kd,128,192,,,16,1515.6970,1807.9172,0.8384,0.0000,ok,
kd,192,64,,,16,1455.2398,1785.8937,0.8149,0.0000,ok,
kd,192,96,,,16,1462.4473,1797.0386,0.8138,0.0000,ok,
kd,192,128,,,16,1425.7709,1784.2603,0.7991,0.0000,ok,
kd,192,192,,,16,1433.4686,1788.2106,0.8016,0.0000,ok,
proj,96,64,,,16,1446.6723,10141.7082,0.1426,0.9493,ok,
proj,96,96,,,16,1599.3698,15599.2023,0.1025,0.9273,ok,
proj,96,128,,,16,1435.3148,19764.6955,0.0726,0.8937,ok,
proj,96,192,,,16,1497.8241,24944.4887,0.0600,0.8317,ok,
proj,128,64,,,16,1440.3294,13216.7329,0.1090,0.9493,ok,
proj,128,96,,,16,1454.7858,15603.3426,0.0932,0.9273,ok,
proj,128,128,,,16,,,,,error,seh_unhandled:0xC0000005
proj,128,192,,,16,1835.4705,24875.7125,0.0738,0.8317,ok,
proj,192,64,,,16,1424.8092,10145.1732,0.1404,0.9493,ok,
proj,192,96,,,16,1435.6322,15557.9763,0.0923,0.9273,ok,
proj,192,128,,,16,1517.5567,19806.2734,0.0766,0.8937,ok,
proj,192,192,,,16,1442.4814,24798.3619,0.0582,0.8317,ok,
hnsw,128,96,100,8,,1430.3499,3976.8015,0.3597,0.1415,ok,
hnsw,128,96,200,8,,1447.8783,4464.8983,0.3243,0.1620,ok,
hnsw,128,96,300,8,,1659.3745,4360.4549,0.3806,0.1698,ok,
hnsw,128,96,100,16,,1432.3489,4088.3546,0.3503,0.1449,ok,
hnsw,128,96,300,16,,1430.0469,5047.4714,0.2833,0.1712,ok,
hnsw,128,96,100,32,,1435.3391,4614.4727,0.3111,0.1439,ok,
hnsw,128,96,200,32,,1418.2128,3865.2740,0.3669,0.1668,ok,
hnsw,128,96,300,32,,1429.1595,3785.0641,0.3776,0.1722,ok,
hnsw,192,128,100,8,,1449.3899,4831.9185,0.3000,0.1049,ok,
hnsw,192,128,200,8,,1451.9270,5648.2221,0.2571,0.1263,ok,
hnsw,192,128,300,8,,1443.4799,4533.0155,0.3184,0.1376,ok,
hnsw,192,128,100,32,,1453.0173,4767.0699,0.3048,0.1063,ok,
hnsw,192,128,200,32,,1452.4126,4640.6078,0.3130,0.1307,ok,
hnsw,192,128,300,32,,1449.8261,4628.5353,0.3132,0.1400,ok,

